FovWord,FovCol,ParaWord,ParaCol,ParaPos,Compatibility,Condition,Trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,voicekey.keys,voicekey.rt,voicekey.started,voicekey.stopped,mic.filename,ISI.started,ISI.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
SHORT,white,GREEN,BLUE,"[-0.4, 0]",ic,para_unified,15,0,53,53,57,None,,176.33255879999888,178.3321073999996,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785780.337.wav,0.014838319999398664,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
YELLOW,white,WEEKLY,YELLOW,"[-0.4, 0]",c,para_dis,5,0,54,54,19,None,,179.33199299999978,181.3316451999999,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785783.337.wav,0.013151519999155425,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
SHORT,white,GREEN,GREEN,"[-0.4, 0]",c,para_unified,13,0,55,55,49,None,,182.31489929999952,184.31468379999933,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785786.321.wav,0.014819419999184902,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
SHORT,white,GREEN,BLUE,"[0.4, 0]",ic,para_unified,16,0,56,56,61,None,,185.31424440000046,187.31366989999879,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785789.320.wav,0.015694419997089426,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
YELLOW,white,WEEKLY,RED,"[-0.4, 0]",ic,para_dis,7,0,57,57,27,None,,188.33015989999876,190.32986419999907,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785792.335.wav,0.013128319998941151,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
GREEN,BLUE,SHORT,white,"[-0.4, 0]",ic,foveal_unified,3,0,58,58,9,None,,191.3296276000001,193.32956879999983,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785795.335.wav,0.013213219997851411,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
RED,white,ROOM,RED,"[-0.4, 0]",c,para_dis,5,0,59,59,16,None,,194.32971779999934,196.32874970000012,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785798.335.wav,0.01317451999966579,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
WEEKLY,white,YELLOW,YELLOW,"[0.4, 0]",c,para_unified,14,0,60,60,55,None,,197.32878659999915,199.32765389999986,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785801.334.wav,0.015479920000871061,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
WEEKLY,YELLOW,YELLOW,white,"[-0.4, 0]",c,fov_dis,9,0,61,61,35,None,,200.3109633999993,202.31090849999964,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785804.316.wav,0.014585819999410887,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
BLUE,white,PUB,YELLOW,"[0.4, 0]",ic,para_dis,8,0,62,62,30,None,,203.32703260000017,205.32709819999945,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785807.332.wav,0.012937719999172259,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
PUB,BLUE,BLUE,white,"[-0.4, 0]",c,fov_dis,9,0,63,63,34,None,,206.32702029999928,208.3261137999998,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785810.333.wav,0.014664719999927911,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
,,,,,,,,,,,,,,,,,,,208.87369369999942,None,,,,,,,
